DISEASE/TRAIT	SNPS	PUBMEDID	IlmnID	SNP_distance_to_CpG
Serum albumin levels	rs11012732	34594039	rs11012732_TC21	0
Body mass index	rs11012732	34594039	rs11012732_TC21	0
IDP dMRI TBSS MD Fornix	rs11012732	33875891	rs11012732_TC21	0
IDP dMRI TBSS L2 Fornix	rs11012732	33875891	rs11012732_TC21	0
IDP dMRI TBSS L3 Fornix	rs11012732	33875891	rs11012732_TC21	0
C-reactive protein levels	rs11012732	35459240	rs11012732_TC21	0
Metabolic biomarkers (multivariate analysis)	rs11012732	33980691	rs11012732_TC21	0
Aspartate aminotransferase levels	rs11012732	33980691	rs11012732_TC21	0
Body fat percentage	rs11012732	33980691	rs11012732_TC21	0
Body mass index	rs11012732	38538606	rs11012732_TC21	0
C-reactive protein levels (MTAG)	rs11012732	36376304	rs11012732_TC21	0
Body mass index	rs11012732	37280435	rs11012732_TC21	0
IgG glycosylation	rs10995439	23382691	rs10995439_TC21	0
IgG glycosylation	rs10995439	23382691	rs10995439_TC21	0
Atopic dermatitis	rs10995251	23042114	rs10995251_TC21	0
Eosinophil counts	rs10995251	34469753	rs10995251_TC21	0
Breast cancer (estrogen-receptor negative)	rs10995190	27117709	rs10995190_TC21	0
Breast cancer	rs10995190	27117709	rs10995190_TC21	0
Breast cancer	rs10995190	25751625	rs10995190_TC21	0
Breast cancer	rs10995190	25751625	rs10995190_TC21	0
Breast cancer	rs10995190	23535733	rs10995190_TC21	0
Breast cancer	rs10995190	20453838	rs10995190_TC21	0
Breast cancer	rs10995190	23535729	rs10995190_TC21	0
Mammographic density (dense area)	rs10995190	25342443	rs10995190_TC21	0
Percent mammographic density	rs10995190	21278746	rs10995190_TC21	0
Breast cancer	rs10995190	34290314	rs10995190_TC21	0
Bipolar disorder	rs10994336	20351715	rs10994336_TC21	0
Bipolar disorder	rs10994336	18711365	rs10994336_TC21	0
PCA3 expression level	rs10993994	23555189	rs10993994_TC21	0
Prostate cancer	rs10993994	25939597	rs10993994_TC21	0
Prostate cancer	rs10993994	26443449	rs10993994_TC21	0
Prostate-specific antigen levels	rs10993994	28139693	rs10993994_TC21	0
Prostate cancer	rs10993994	31562322	rs10993994_TC21	0
Prostate cancer	rs10993994	29892016	rs10993994_TC21	0
Eczema	rs10993994	30595370	rs10993994_TC21	0
Prostate-specific antigen levels	rs10993994	23269536	rs10993994_TC21	0
Prostate cancer	rs10993994	20676098	rs10993994_TC21	0
Serum prostate-specific antigen levels	rs10993994	21160077	rs10993994_TC21	0
Prostate cancer	rs10993994	18264096	rs10993994_TC21	0
Prostate cancer	rs10993994	18264097	rs10993994_TC21	0
Prostate cancer	rs10993994	21743057	rs10993994_TC21	0
Prostate cancer	rs10993994	24753544	rs10993994_TC21	0
Prostate cancer (early onset)	rs10993994	24740154	rs10993994_TC21	0
Prostate cancer	rs10993994	26034056	rs10993994_TC21	0
Prostate cancer	rs10993994	26034056	rs10993994_TC21	0
Prostate cancer	rs10993994	33398198	rs10993994_TC21	0
Prostate cancer	rs10993994	33398198	rs10993994_TC21	0
Prostate cancer	rs10993994	33398198	rs10993994_TC21	0
Prostate cancer	rs10993994	33398198	rs10993994_TC21	0
Prostate cancer	rs10993994	33398198	rs10993994_TC21	0
Prostate cancer	rs10993994	32514122	rs10993994_TC21	0
Prostate cancer	rs10993994	32887889	rs10993994_TC21	0
Prostate cancer	rs10993994	31226226	rs10993994_TC21	0
PSP94 plasma levels	rs10993994	35264221	rs10993994_TC21	0
Prostate cancer	rs10993994	37945903	rs10993994_TC21	0
Prostate cancer	rs10993994	37945903	rs10993994_TC21	0
Prostate cancer	rs10993994	37945903	rs10993994_TC21	0
Prostate cancer	rs10993994	37945903	rs10993994_TC21	0
Prostate cancer	rs10993994	37945903	rs10993994_TC21	0
Prostate cancer	rs10993994	34594039	rs10993994_TC21	0
Prostate cancer	rs10993994	34594039	rs10993994_TC21	0
Beta-microseminoprotein levels	rs10993994	34648354	rs10993994_TC21	0
Prostate cancer	rs10993994	33293427	rs10993994_TC21	0
Prostate cancer	rs10993994	34290314	rs10993994_TC21	0
Hormone-sensitive cancer	rs10993994	35729236	rs10993994_TC21	0
Incident hormone-sensitive cancer	rs10993994	35729236	rs10993994_TC21	0
Beta-microseminoprotein levels (MSMB.10620.21.3)	rs10993994	29875488	rs10993994_TC21	0
Beta-microseminoprotein level in Chronic kidney disease with hypertension and no diabetes (10620_21)	rs10993994	35870639	rs10993994_TC21	0
Prostate-specific antigen levels	rs10993994	37264206	rs10993994_TC21	0
Prostate cancer	rs10993994	38538606	rs10993994_TC21	0
Waist-to-hip ratio adjusted for body mass index	rs10991437	25673412	rs10991437_BC21	0
Waist-to-hip ratio adjusted for body mass index	rs10991437	25673412	rs10991437_BC21	0
Waist-to-hip ratio adjusted for body mass index	rs10991437	25673412	rs10991437_BC21	0
Waist-to-hip ratio adjusted for body mass index	rs10991437	25673412	rs10991437_BC21	0
Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)	rs10991437	28443625	rs10991437_BC21	0
Waist-to-hip ratio adjusted for BMI (adjusted for smoking behaviour)	rs10991437	28443625	rs10991437_BC21	0
Waist-hip ratio	rs10988105	30595370	rs10988105_BO21	0
Menarche (age at onset)	rs10980854	25231870	rs10980854_TC21	0
Hypospadias	rs10979	25108383	rs10979_TC21	0
Type 2 diabetes	rs10974438	30297969	rs10974438_BC21	0
Height	rs10974438	30595370	rs10974438_BC21	0
Type 2 diabetes	rs10974438	30595370	rs10974438_BC21	0
Type 2 diabetes	rs10974438	32541925	rs10974438_BC21	0
Osteoarthritis	rs10974438	30664745	rs10974438_BC21	0
Type 1 diabetes	rs10974438	33830302	rs10974438_BC21	0
Osteoarthritis of the hip or knee	rs10974438	34450027	rs10974438_BC21	0
Hemoglobin A1c levels	rs10974438	38116116	rs10974438_BC21	0
Oral glucose tolerance test-0h	rs10974438	38372780	rs10974438_BC21	0
Fasting glucose	rs10974438	38116116	rs10974438_BC21	0
Type 2 diabetes	rs10974438	30054458	rs10974438_BC21	0
Fasting glucose	rs10974438	34059833	rs10974438_BC21	0
Glucose levels	rs10974438	38448586	rs10974438_BC21	0
Type 2 diabetes	rs10974438	39379762	rs10974438_BC21	0
Intracranial aneurysm	rs10958409	18997786	rs10958409_TC21	0
Red blood cell count	rs10957985	30595370	rs10957985_TC21	0
Eosinophil percentage of white cells	rs10956403	27863252	rs10956403_TC21	0
Eosinophil counts	rs10956403	32888493	rs10956403_TC21	0
Eosinophil counts	rs10956403	32888493	rs10956403_TC21	0
Lymphocyte count	rs10956403	34469753	rs10956403_TC21	0
Cognitive function	rs10954361	24684796	rs10954361_TC21	0
Coronary heart disease	rs10953541	21378988	rs10953541_TC21	0
Serum alkaline phosphatase levels	rs10953541	33462484	rs10953541_TC21	0
Osteoarthritis (hip)	rs10948172	30374069	rs10948172_TC21	0
Osteoarthritis	rs10948172	22763110	rs10948172_TC21	0
Osteoarthritis of the hip or knee	rs10948172	30664745	rs10948172_TC21	0
Glycosyl ceramide (d18:2/24:1, d18:1/24:2) levels in elite athletes	rs10948172	31882771	rs10948172_TC21	0
Inflammatory skin disease	rs1094732	25574825	rs1094732_TC21	0
Knee osteoarthritis	rs10947262	20305777	rs10947262_TC21	0
Crohn's disease	rs10947261	23850713	rs10947261_BC21	0
Cardiac hypertrophy	rs10947055	21348951	rs10947055_TC21	0
Obesity-related traits	rs10937355	23251661	rs10937355_TC21	0
Mortality in sepsis	rs10933728	27639821	rs10933728_TC21	0
White blood cell count	rs10932765	25096241	rs10932765_TC21	0
Waist-to-hip circumference ratio (dietary energy interaction)	rs10931041	23192594	rs10931041_TC21	0
Age at smoking initiation in chronic obstructive pulmonary disease	rs10928927	21685187	rs10928927_TC21	0
Educational attainment (MTAG)	rs10928190	30038396	rs10928190_TC21	0
Educational attainment (years of education)	rs10928190	30038396	rs10928190_TC21	0
Educational attainment	rs10928190	35361970	rs10928190_TC21	0
QRS duration	rs10923445	27577874	rs10923445_TC21	0
QRS duration	rs10923445	27577874	rs10923445_TC21	0
End-stage coagulation	rs10922162	23381943	rs10922162_TC21	0
Lung function (FEV1/FVC)	rs10920205	30595370	rs10920205_TC21	0
Lung function (FEV1/FVC)	rs10920205	36914875	rs10920205_TC21	0
Thyroid volume	rs10917468	21565293	rs10917468_TC21	0
EGFR mutation-positive lung adenocarcinoma	rs3817963	27501781	rs3817963_TC21	0
Hepatitis C induced liver cirrhosis	rs3817963	23321320	rs3817963_TC21	0
Multiple sclerosis (OCB status)	rs3817963	23472185	rs3817963_TC21	0
Multiple sclerosis (OCB status)	rs3817963	23472185	rs3817963_TC21	0
Lung adenocarcinoma	rs3817963	22797724	rs3817963_TC21	0
Breast cancer	rs3817198	29059683	rs3817198_TC21	0
Breast cancer	rs3817198	32139696	rs3817198_TC21	0
Breast cancer	rs3817198	25751625	rs3817198_TC21	0
Breast cancer	rs3817198	25751625	rs3817198_TC21	0
Breast cancer	rs3817198	17529967	rs3817198_TC21	0
Breast cancer	rs3817198	23535729	rs3817198_TC21	0
Mammographic density (dense area)	rs3817198	25342443	rs3817198_TC21	0
Height	rs3814333	31562340	rs3814333_TC21	0
Fat-free mass	rs3814333	30593698	rs3814333_TC21	0
Fat-free mass	rs3814333	30593698	rs3814333_TC21	0
Height	rs3814333	23563607	rs3814333_TC21	0
Height	rs3814333	25282103	rs3814333_TC21	0
Height	rs3814333	31217584	rs3814333_TC21	0
Surgical hip osteoarthritis	rs3814333	36376028	rs3814333_TC21	0
Whole body fat mass (UKB data field 23100)	rs3814333	38538606	rs3814333_TC21	0
Height	rs3814333	34594039	rs3814333_TC21	0
Height	rs3814333	35831902	rs3814333_TC21	0
Weight	rs3814333	34594039	rs3814333_TC21	0
Body surface area	rs3814333	36502284	rs3814333_TC21	0
Vitiligo	rs3814231	22561518	rs3814231_TC21	0
Ovarian cancer in BRCA1 mutation carriers	rs3814113	23544013	rs3814113_TC21	0
Ovarian cancer	rs3814113	19648919	rs3814113_TC21	0
Ovarian cancer	rs3814113	23535730	rs3814113_TC21	0
Ovarian cancer	rs3814113	23535730	rs3814113_TC21	0
Epithelial ovarian cancer	rs3814113	25581431	rs3814113_TC21	0
Breast cancer or ovarian cancer (pleiotropy)	rs3814113	36819030	rs3814113_TC21	0
Pulse pressure	rs3814113	33230300	rs3814113_TC21	0
Pulse pressure	rs3814113	33230300	rs3814113_TC21	0
C4b binding protein levels	rs3813948	20212171	rs3813948_TC21	0
Crohn's disease	rs3810936	21102463	rs3810936_TC21	0
Response to citalopram treatment	rs3810046	22760553	rs3810046_BC21	0
Height	rs3808907	36224396	rs3808907_TC21	0
Eosinophilic esophagitis (pediatric)	rs3806932	20208534	rs3806932_TC21	0
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	rs3806308	26974007	rs3806308_TC21	0
Ulcerative colitis	rs3806308	19122664	rs3806308_TC21	0
Ulcerative colitis	rs3806308	20228799	rs3806308_TC21	0
Ulcerative colitis	rs3806308	26192919	rs3806308_TC21	0
Height	rs38059	31562340	rs38059_BC21	0
Testicular germ cell tumor	rs3805663	28604732	rs3805663_TC21	0
Testicular germ cell tumor	rs3805663	23666240	rs3805663_TC21	0
Height	rs3805663	36224396	rs3805663_TC21	0
Systolic blood pressure	rs3802230	30595370	rs3802230_BC21	0
Pulse pressure	rs3802230	38689001	rs3802230_BC21	0
Diastolic blood pressure	rs3802230	38689001	rs3802230_BC21	0
Systolic blood pressure	rs3802230	38689001	rs3802230_BC21	0
Androstenedione levels	rs3802230	34822396	rs3802230_BC21	0
Androstenedione levels	rs3802230	34822396	rs3802230_BC21	0
Androstenedione levels	rs3802230	34822396	rs3802230_BC21	0
Hypertension (confirmatory factor analysis Factor 12)	rs3802230	38965376	rs3802230_BC21	0
Mean arterial pressure	rs3802230	34594039	rs3802230_BC21	0
Systolic blood pressure	rs3802230	39134668	rs3802230_BC21	0
Plasma omega-3 polyunsaturated fatty acid level (eicosapentaenoic acid)	rs3798713	21829377	rs3798713_TC21	0
Phosphatidylcholine_38:5_[M+H]1+/Phosphatidylethanolamine_41:5_[M+H]1+/Phosphatidate_43:6_[M+NH4]1+ levels	rs3798713	34503513	rs3798713_TC21	0
Phosphatidylinositol(40:6)_[M-H]1- levels	rs3798713	34503513	rs3798713_TC21	0
Phosphatidylcholine diacyl C38:5 levels	rs3798713	33414548	rs3798713_TC21	0
Inflammatory bowel disease	rs3798544	27569725	rs3798544_TC21	0
Insomnia	rs3798544	35835914	rs3798544_TC21	0
Height	rs3798544	36224396	rs3798544_TC21	0
Gout	rs3798343	22179738	rs3798343_BC21	0
Exploratory eye movement dysfunction in schizophrenia (cognitive search score)	rs3794288	26242244	rs3794288_TC21	0
Essential tremor	rs3794087	22764253	rs3794087_BC21	0
Idiopathic inflammatory myopathy	rs3794087	36580032	rs3794087_BC21	0
Waist circumference adjusted for body mass index	rs3792752	31669095	rs3792752_TC21	0
Height	rs3792752	20881960	rs3792752_TC21	0
Height	rs3792752	36224396	rs3792752_TC21	0
Height	rs3792752	36224396	rs3792752_TC21	0
Waist circumference adjusted for body mass index	rs3792752	34021172	rs3792752_TC21	0
Local histogram emphysema pattern	rs379123	25006744	rs379123_TC21	0
Local histogram emphysema pattern	rs379123	25006744	rs379123_TC21	0
Migraine	rs3790455	22683712	rs3790455_TC21	0
Pain (pleiotropy)	rs3790455	37844115	rs3790455_TC21	0
Rheumatoid arthritis (ACPA-negative)	rs3790022	24532677	rs3790022_TC21	0
Glaucoma (primary angle closure)	rs3788317	22922875	rs3788317_BC21	0
Retinal vascular fractal dimension	rs3788317	34743558	rs3788317_BC21	0
Height	rs3785574	25429064	rs3785574_TC21	0
Asthma	rs3784099	27182965	rs3784099_TC21	0
Hypothyroidism	rs3784099	30595370	rs3784099_TC21	0
Autoimmune thyroid disease	rs3784099	32581359	rs3784099_TC21	0
Breast cancer (survival)	rs3784099	22232737	rs3784099_TC21	0
Breast cancer (survival)	rs3784099	22232737	rs3784099_TC21	0
Medication use (thyroid preparations)	rs3784099	31015401	rs3784099_TC21	0
Systemic lupus erythematosus (MTAG)	rs3784099	36750564	rs3784099_TC21	0
Height	rs3784099	36224396	rs3784099_TC21	0
Primary biliary cholangitis	rs3784099	34033851	rs3784099_TC21	0
Primary biliary cholangitis	rs3784099	34033851	rs3784099_TC21	0
Medication use (thyroid preparations)	rs3784099	34594039	rs3784099_TC21	0
Asthma	rs3784099	36777996	rs3784099_TC21	0
Rheumatoid arthritis	rs3781913	22446963	rs3781913_BC21	0
Esophageal cancer and gastric cancer	rs3781264	20729852	rs3781264_TC21	0
Body mass index (change over time) in gastrointestinal cancer or chronic obstructive pulmonary disease	rs3774854	28044437	rs3774854_TC21	0
Brain connectivity	rs3771863	23471985	rs3771863_TC21	0
Height	rs3771863	36224396	rs3771863_TC21	0
Obesity-related traits	rs3771514	23251661	rs3771514_TC21	0
Corneal astigmatism	rs3771395	23322567	rs3771395_TC21	0
Chronic lymphocytic leukemia	rs3769825	23770605	rs3769825_TC21	0
Blood protein levels	rs3768844	30072576	rs3768844_TC21	0
Protein quantitative trait loci	rs3768844	32492067	rs3768844_TC21	0
Height	rs3767627	25282103	rs3767627_TC21	0
Hip circumference adjusted for BMI	rs3767627	34021172	rs3767627_TC21	0
Height	rs3767627	35831902	rs3767627_TC21	0
Height	rs3767627	35399580	rs3767627_TC21	0
Crohn's disease	rs3764147	28067908	rs3764147_TC21	0
Inflammatory bowel disease	rs3764147	28067908	rs3764147_TC21	0
Leprosy	rs3764147	32421744	rs3764147_TC21	0
Crohn's disease	rs3764147	18587394	rs3764147_TC21	0
Leprosy	rs3764147	20018961	rs3764147_TC21	0
Crohn's disease	rs3764147	21102463	rs3764147_TC21	0
Crohn's disease	rs3764147	23128233	rs3764147_TC21	0
Inflammatory bowel disease	rs3764147	26192919	rs3764147_TC21	0
Crohn's disease	rs3764147	37523193	rs3764147_TC21	0
Complement C3 and C4 levels	rs3763317	23028341	rs3763317_TC21	0
Waist-to-hip ratio adjusted for BMI	rs3763317	34021172	rs3763317_TC21	0
Waist-to-hip ratio adjusted for BMI	rs3763317	34021172	rs3763317_TC21	0
A body shape index	rs3763317	34021172	rs3763317_TC21	0
Waist-hip index	rs3763317	34021172	rs3763317_TC21	0
Hip circumference adjusted for BMI	rs3763317	34021172	rs3763317_TC21	0
Educational attainment	rs3763317	35361970	rs3763317_TC21	0
Waist-hip index	rs3763317	34021172	rs3763317_TC21	0
Myocardial infarction	rs3763317	38072966	rs3763317_TC21	0
HIV-1 control	rs3763313	20041166	rs3763313_BC21	0
Mouth ulcers	rs3763313	30837455	rs3763313_BC21	0
Familial combined hyperlipidemia defined by Dutch criteria	rs3763313	34906840	rs3763313_BC21	0
Familial combined hyperlipidemia defined by Consensus criteria	rs3763313	34906840	rs3763313_BC21	0
HIV-1 viral setpoint	rs3763312	26039976	rs3763312_TC21	0
Social communication problems	rs3761168	24564958	rs3761168_BC21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
N-glycan levels	rs3760776	21908519	rs3760776_BO21	0
Vitamin B12 levels	rs3760776	22367966	rs3760776_BO21	0
Tumor biomarkers	rs3760776	23300138	rs3760776_BO21	0
N-glycan levels	rs3760776	21203500	rs3760776_BO21	0
N-glycan levels	rs3760776	21203500	rs3760776_BO21	0
N-glycan levels	rs3760776	21203500	rs3760776_BO21	0
N-glycan levels	rs3760776	21203500	rs3760776_BO21	0
Waist circumference adjusted for BMI (adjusted for smoking behaviour)	rs3760318	28443625	rs3760318_TC21	0
Waist circumference adjusted for BMI (adjusted for smoking behaviour)	rs3760318	28443625	rs3760318_TC21	0
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	rs3760318	28443625	rs3760318_TC21	0
Waist circumference adjusted for BMI (joint analysis main effects and smoking interaction)	rs3760318	28443625	rs3760318_TC21	0
Waist circumference adjusted for BMI in non-smokers	rs3760318	28443625	rs3760318_TC21	0
Waist circumference adjusted for BMI in non-smokers	rs3760318	28443625	rs3760318_TC21	0
Height	rs3760318	18391951	rs3760318_TC21	0
Waist circumference adjusted for body mass index	rs3760318	25673412	rs3760318_TC21	0
Waist circumference adjusted for body mass index	rs3760318	25673412	rs3760318_TC21	0
Height	rs3760318	25282103	rs3760318_TC21	0
Height	rs3760318	31217584	rs3760318_TC21	0
Height	rs3760318	36224396	rs3760318_TC21	0
Height	rs3760318	36224396	rs3760318_TC21	0
Height	rs3760318	36224396	rs3760318_TC21	0
Systolic blood pressure	rs3760318	38689001	rs3760318_TC21	0
Diastolic blood pressure	rs3760318	38689001	rs3760318_TC21	0
Waist circumference adjusted for body mass index	rs3760318	34021172	rs3760318_TC21	0
Height	rs3760318	35399580	rs3760318_TC21	0
Diastolic blood pressure	rs3760318	33230300	rs3760318_TC21	0
Systolic blood pressure	rs3760318	33230300	rs3760318_TC21	0
Systolic blood pressure	rs3760318	33230300	rs3760318_TC21	0
Diastolic blood pressure	rs3760318	33230300	rs3760318_TC21	0
Height	rs3760318	36224396	rs3760318_TC21	0
Glycated hemoglobin levels	rs3755157	29170429	rs3755157_TC21	0
Glycated hemoglobin levels	rs3755157	24647736	rs3755157_TC21	0
Hemoglobin A1c levels	rs3755157	34594039	rs3755157_TC21	0
Non-glioblastoma glioma	rs3751667	28346443	rs3751667_TC21	0
Glioblastoma	rs3751667	28346443	rs3751667_TC21	0
Glioma	rs3751667	28346443	rs3751667_TC21	0
Non-glioblastoma glioma	rs3751667	29743610	rs3751667_TC21	0
Glioma	rs3751667	29743610	rs3751667_TC21	0
General cognitive ability	rs3751667	29844566	rs3751667_TC21	0
Highest math class taken (MTAG)	rs3751667	30038396	rs3751667_TC21	0
Self-reported math ability (MTAG)	rs3751667	30038396	rs3751667_TC21	0
Educational attainment (MTAG)	rs3751667	30038396	rs3751667_TC21	0
Malignant vs benign glioma	rs3751667	35887658	rs3751667_TC21	0
Educational attainment	rs3751667	35361970	rs3751667_TC21	0
Age-related macular degeneration (extreme sampling)	rs3750848	23577725	rs3750848_BC21	0
Bipolar disorder	rs3750552	22925353	rs3750552_BO21	0
Allergic disease	rs3750552	38576245	rs3750552_BO21	0
Ulcerative colitis	rs3749946	24837172	rs3749946_BC21	0
Hypothyroidism	rs3748682	27182965	rs3748682_TC21	0
Hypothyroidism	rs3748682	22493691	rs3748682_TC21	0
Reticulocyte count	rs3748136	27863252	rs3748136_TC21	0
Platelet distribution width	rs3748136	27863252	rs3748136_TC21	0
Reticulocyte fraction of red cells	rs3748136	27863252	rs3748136_TC21	0
Mean platelet volume	rs3748136	32888493	rs3748136_TC21	0
Mean platelet volume	rs3748136	32888493	rs3748136_TC21	0
High light scatter reticulocyte percentage of red cells	rs3748136	32888494	rs3748136_TC21	0
Platelet distribution width	rs3748136	32888494	rs3748136_TC21	0
CDKN1A/CDKN2D protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN2D/FOXO1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/TACC3 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/TBC1D23 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/FXN protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/NCK2 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/PLA2G4A protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/TBL1X protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/TMSB10 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/TXLNA protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/YES1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/DAB2 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/DNAJB1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CDKN1A/ENO2 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CRACR2A/MAP3K5 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
EREG/GYS1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
Eukaryotic translation initiation factor 3 subunit J levels	rs3748136	34648354	rs3748136_TC21	0
Eukaryotic translation initiation factor 3 subunit G levels	rs3748136	34648354	rs3748136_TC21	0
Protein TSSC4 levels	rs3748136	34648354	rs3748136_TC21	0
Arginase-2, mitochondrial levels	rs3748136	34648354	rs3748136_TC21	0
Glycogen phosphorylase, liver form levels	rs3748136	34648354	rs3748136_TC21	0
BANK1/TXLNA protein level ratio	rs3748136	38412862	rs3748136_TC21	0
PPP1R2/TYMP protein level ratio	rs3748136	38412862	rs3748136_TC21	0
PPP1R2/USP8 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
AXIN1/CDKN1A protein level ratio	rs3748136	38412862	rs3748136_TC21	0
PPP1R2/STK4 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
PPP1R2/TBL1X protein level ratio	rs3748136	38412862	rs3748136_TC21	0
PPP1R2/SNAP23 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
FADD/PPP1R2 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
ATOX1/CIAPIN1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
ATOX1/GYS1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CC2D1A/CDKN1A protein level ratio	rs3748136	38412862	rs3748136_TC21	0
CD69/PPP1R2 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
MAP3K5/MAVS protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/USP8 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/WASF1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/ITGB1BP2 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/MAP3K5 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/PPP1R2 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/STK11 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/SUSD1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
GYS1/TIA1 protein level ratio	rs3748136	38412862	rs3748136_TC21	0
Serum alkaline phosphatase levels	rs3748136	33462484	rs3748136_TC21	0
Aspartate aminotransferase levels	rs3748136	33462484	rs3748136_TC21	0
C-reactive protein levels (MTAG)	rs3748136	36376304	rs3748136_TC21	0
Platelet forward scatter distribution width	rs3748136	37596262	rs3748136_TC21	0
Psoriasis	rs3747517	25903422	rs3747517_TC21	0
Psoriasis	rs3747517	25903422	rs3747517_TC21	0
Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy)	rs3747517	26974007	rs3747517_TC21	0
Anti-N-methyl-D-aspartate receptor encephalitis	rs3747517	38579189	rs3747517_TC21	0
Primary biliary cholangitis	rs3745516	20639880	rs3745516_TC21	0
Primary biliary cholangitis	rs3745516	21399635	rs3745516_TC21	0
Primary biliary cholangitis	rs3745516	26394269	rs3745516_TC21	0
Primary biliary cholangitis	rs3745516	34033851	rs3745516_TC21	0
Bipolar disorder with mood-incongruent psychosis	rs3744728	23092984	rs3744728_TC21	0
Cognitive function	rs3741489	24684796	rs3741489_TC21	0
Glaucoma (primary angle closure)	rs3739821	27064256	rs3739821_TC21	0
Glaucoma (primary angle closure)	rs3739821	27064256	rs3739821_TC21	0
X-13431--nonanoylcarnitine levels	rs3738934	24816252	rs3738934_TC21	0
X-13431 levels	rs3738934	33177712	rs3738934_TC21	0
Immune reponse to smallpox (secreted IL-12p40)	rs3736638	22610502	rs3736638_BC21	0
Waist circumference adjusted for body mass index	rs3736403	31669095	rs3736403_TC21	0
Systemic lupus erythematosus	rs3734266	23273568	rs3734266_TC21	0
Age at adiposity rebound x sex interaction	rs3734266	36844456	rs3734266_TC21	0
Baseline memory in normal cognition	rs3734266	37984853	rs3734266_TC21	0
Baseline memory in normal cognition	rs3734266	37984853	rs3734266_TC21	0
Systemic lupus erythematosus	rs3734266	34076728	rs3734266_TC21	0
Primary biliary cholangitis	rs3732421	28425483	rs3732421_TC21	0
Systemic lupus erythematosus (MTAG)	rs3732421	36750564	rs3732421_TC21	0
Cardiac hypertrophy	rs3729931	21348951	rs3729931_TC21	0
Glycated hemoglobin levels	rs3729931	33462484	rs3729931_TC21	0
Sex hormone-binding globulin levels	rs3729931	33462484	rs3729931_TC21	0
Low density lipoprotein cholesterol levels	rs3729931	33462484	rs3729931_TC21	0
Hip index	rs3729931	34021172	rs3729931_TC21	0
Apolipoprotein B levels	rs3729931	33462484	rs3729931_TC21	0
Total cholesterol levels	rs3729931	33462484	rs3729931_TC21	0
Breast cancer	rs36715	29059683	rs36715_TC21	0
Autism spectrum disorder, attention deficit-hyperactivity disorder, bipolar disorder, major depressive disorder, and schizophrenia (combined)	rs360932	23453885	rs360932_TC21	0
Obesity-related traits	rs359980	23251661	rs359980_TC21	0
